NAME: c201
VEHICLES: 25
CAPACITY: 700
CUSTNO XCOORD YCOORD DEMAND
0 40.0 50.0 0
1 52.0 75.0 10
2 45.0 70.0 30
3 62.0 69.0 10
4 60.0 66.0 10
5 42.0 65.0 10
6 16.0 42.0 20
7 58.0 70.0 20
8 34.0 60.0 20
9 28.0 70.0 10
10 35.0 66.0 10
11 35.0 69.0 10
12 25.0 85.0 20
13 22.0 75.0 30
14 22.0 85.0 10
15 20.0 80.0 40
16 20.0 85.0 40
17 18.0 75.0 20
18 15.0 75.0 20
19 15.0 80.0 10
20 30.0 50.0 10
21 30.0 56.0 20
22 28.0 52.0 20
23 14.0 66.0 10
24 25.0 50.0 10
25 22.0 66.0 40
26 8.0 62.0 10
27 23.0 52.0 10
28 4.0 55.0 20
29 20.0 50.0 10
30 20.0 55.0 10
31 10.0 35.0 20
32 10.0 40.0 30
33 8.0 40.0 40
34 8.0 45.0 20
35 5.0 35.0 10
36 5.0 45.0 10
37 2.0 40.0 20
38 0.0 40.0 30
39 0.0 45.0 20
40 36.0 18.0 10
41 35.0 32.0 10
42 33.0 32.0 20
43 33.0 35.0 10
44 32.0 20.0 10
45 30.0 30.0 10
46 34.0 25.0 30
47 30.0 35.0 10
48 36.0 40.0 10
49 48.0 20.0 10
50 26.0 32.0 10
