NAME: r101
VEHICLES: 25
CAPACITY: 200
CUSTNO XCOORD YCOORD DEMAND
0 35.0 35.0 0
1 41.0 49.0 10
2 35.0 17.0 7
3 55.0 45.0 13
4 55.0 20.0 19
5 15.0 30.0 26
6 25.0 30.0 3
7 20.0 50.0 5
8 10.0 43.0 9
9 55.0 60.0 16
10 30.0 60.0 16
11 20.0 65.0 12
12 50.0 35.0 19
13 30.0 25.0 23
14 15.0 10.0 20
15 30.0 5.0 8
16 10.0 20.0 19
17 5.0 30.0 2
18 20.0 40.0 12
19 15.0 60.0 17
20 45.0 65.0 9
21 45.0 20.0 11
22 45.0 10.0 18
23 55.0 5.0 29
24 65.0 35.0 3
25 65.0 20.0 6
26 45.0 30.0 17
27 35.0 40.0 16
28 41.0 37.0 16
29 64.0 42.0 9
30 40.0 60.0 21
31 31.0 52.0 27
32 35.0 69.0 23
33 53.0 52.0 11
34 65.0 55.0 14
35 63.0 65.0 8
36 2.0 60.0 5
37 20.0 20.0 8
38 5.0 5.0 16
39 60.0 12.0 31
40 40.0 25.0 9
41 42.0 7.0 5
42 24.0 12.0 5
43 23.0 3.0 7
44 11.0 14.0 18
45 6.0 38.0 16
46 2.0 48.0 1
47 8.0 56.0 27
48 13.0 52.0 36
49 6.0 68.0 30
50 47.0 47.0 13
51 49.0 58.0 10
52 27.0 43.0 9
53 37.0 31.0 14
54 57.0 29.0 18
55 63.0 23.0 2
56 53.0 12.0 6
57 32.0 12.0 7
58 36.0 26.0 18
59 21.0 24.0 28
60 17.0 34.0 3
61 12.0 24.0 13
62 24.0 58.0 19
63 27.0 69.0 10
64 15.0 77.0 9
65 62.0 77.0 20
66 49.0 73.0 25
67 67.0 5.0 25
68 56.0 39.0 36
69 37.0 47.0 6
70 37.0 56.0 5
71 57.0 68.0 15
72 47.0 16.0 25
73 44.0 17.0 9
74 46.0 13.0 8
75 49.0 11.0 18
76 49.0 42.0 13
77 53.0 43.0 14
78 61.0 52.0 3
79 57.0 48.0 23
80 56.0 37.0 6
81 55.0 54.0 26
82 15.0 47.0 16
83 14.0 37.0 11
84 11.0 31.0 7
85 16.0 22.0 41
86 4.0 18.0 35
87 28.0 18.0 26
88 26.0 52.0 9
89 26.0 35.0 15
90 31.0 67.0 3
91 15.0 19.0 1
92 22.0 22.0 2
93 18.0 24.0 22
94 26.0 27.0 27
95 25.0 24.0 20
96 22.0 27.0 11
97 25.0 21.0 12
98 19.0 21.0 10
99 20.0 26.0 9
100 18.0 18.0 17
