NAME: rc201
VEHICLES: 25
CAPACITY: 1000
CUSTNO XCOORD YCOORD DEMAND
0 40.0 50.0 0
1 25.0 85.0 20
2 22.0 75.0 30
3 22.0 85.0 10
4 20.0 80.0 40
5 20.0 85.0 20
6 18.0 75.0 20
7 15.0 75.0 20
8 15.0 80.0 10
9 10.0 35.0 20
10 10.0 40.0 30
11 8.0 40.0 40
12 8.0 45.0 20
13 5.0 35.0 10
14 5.0 45.0 10
15 2.0 40.0 20
16 0.0 40.0 20
17 0.0 45.0 20
18 44.0 5.0 20
19 42.0 10.0 40
20 42.0 15.0 10
21 40.0 5.0 10
22 40.0 15.0 40
23 38.0 5.0 30
24 38.0 15.0 10
25 35.0 5.0 20
26 95.0 30.0 30
27 95.0 35.0 20
28 92.0 30.0 10
29 90.0 35.0 10
30 88.0 30.0 10
31 88.0 35.0 20
32 87.0 30.0 10
33 85.0 25.0 10
34 85.0 35.0 30
35 67.0 85.0 20
36 65.0 85.0 40
37 65.0 82.0 10
38 62.0 80.0 30
39 60.0 80.0 10
40 60.0 85.0 30
41 58.0 75.0 20
42 55.0 80.0 10
43 55.0 85.0 20
44 55.0 82.0 10
45 20.0 82.0 10
46 18.0 80.0 10
47 2.0 45.0 10
48 42.0 5.0 10
49 42.0 12.0 10
50 72.0 35.0 30
