algorithm,instance,seed,solution_cost,computation_time,num_vehicles,routes,feasible,success,error
ALNS,c1_100.txt,15796,1340.0,80.70431184768677,10,"[[0, 69, 68, 55, 54, 53, 56, 58, 60, 59, 41, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 72, 61, 64, 66, 67, 0], [0, 20, 22, 25, 27, 29, 32, 33, 24, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 21, 23, 26, 28, 30, 34, 36, 39, 38, 37, 35, 31, 0], [0, 99, 100, 97, 94, 92, 93, 95, 96, 98, 0], [0, 47, 49, 52, 50, 51, 48, 46, 45, 44, 57, 40, 42, 43, 0], [0, 10, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 65, 62, 74, 63, 0]]",True,True,
ALNS,c1_100.txt,861,1332.0,61.410857915878296,10,"[[0, 66, 68, 57, 54, 55, 40, 46, 42, 43, 0], [0, 41, 59, 53, 56, 58, 60, 44, 45, 48, 51, 50, 52, 49, 47, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 24, 25, 22, 20, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 37, 38, 35, 31, 33, 32, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 72, 61, 64, 69, 0], [0, 10, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 67, 62, 74, 63, 65, 0]]",True,True,
ALNS,c1_100.txt,76821,1337.0,59.09175992012024,10,"[[0, 43, 42, 40, 57, 44, 46, 45, 48, 51, 50, 52, 49, 47, 0], [0, 69, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75, 0], [0, 41, 59, 60, 58, 56, 53, 54, 55, 68, 66, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 10, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 21, 22, 25, 27, 29, 33, 32, 24, 20, 0], [0, 23, 26, 28, 30, 34, 36, 39, 38, 37, 35, 31, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0], [0, 65, 63, 74, 62, 67, 0]]",True,True,
ALNS,c1_100.txt,54887,1342.0,57.24156165122986,10,"[[0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 20, 25, 27, 29, 36, 39, 38, 37, 35, 31, 52, 49, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 1, 0], [0, 43, 41, 59, 60, 58, 56, 53, 54, 55, 68, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 75, 0], [0, 21, 22, 24, 32, 33, 34, 30, 28, 26, 23, 0], [0, 47, 46, 50, 51, 48, 45, 44, 42, 40, 57, 64, 69, 0], [0, 66, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 10, 0], [0, 67, 62, 74, 63, 65, 0]]",True,True,
ALNS,c1_100.txt,6266,1321.0,61.81437420845032,10,"[[0, 43, 41, 42, 40, 57, 44, 45, 46, 48, 51, 50, 52, 49, 47, 0], [0, 10, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 69, 64, 55, 54, 53, 56, 58, 60, 59, 68, 0], [0, 67, 63, 74, 62, 65, 0], [0, 99, 100, 97, 94, 92, 93, 95, 96, 98, 0], [0, 20, 22, 24, 25, 27, 29, 30, 28, 26, 23, 21, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 66, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0]]",True,True,
ALNS,c1_100.txt,82387,1350.0,58.38128900527954,10,"[[0, 90, 87, 84, 85, 88, 89, 91, 2, 1, 75, 0], [0, 5, 3, 7, 4, 6, 9, 8, 10, 23, 25, 24, 22, 20, 0], [0, 34, 36, 39, 38, 37, 35, 31, 33, 32, 0], [0, 65, 80, 79, 77, 73, 70, 71, 76, 78, 81, 82, 83, 86, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0], [0, 21, 26, 28, 30, 27, 29, 52, 50, 51, 48, 45, 44, 46, 49, 47, 0], [0, 67, 62, 74, 72, 61, 64, 57, 40, 42, 43, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 11, 0], [0, 41, 59, 60, 58, 56, 53, 54, 55, 68, 66, 69, 0], [0, 63, 0]]",True,True,
ALNS,c1_100.txt,37195,1316.0,59.73519277572632,10,"[[0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 43, 42, 40, 57, 44, 45, 46, 48, 51, 50, 52, 49, 47, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 24, 25, 22, 20, 0], [0, 67, 62, 74, 63, 65, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 10, 0], [0, 34, 36, 39, 38, 37, 35, 31, 33, 32, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 66, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 41, 59, 60, 58, 56, 53, 54, 55, 68, 69, 0]]",True,True,
ALNS,c1_100.txt,87499,1349.0,59.603376150131226,10,"[[0, 41, 40, 59, 60, 58, 56, 53, 54, 55, 68, 69, 0], [0, 11, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 7, 5, 3, 75, 1, 2, 4, 6, 9, 8, 10, 0], [0, 67, 65, 63, 87, 84, 85, 88, 89, 91, 0], [0, 66, 62, 74, 72, 61, 64, 57, 44, 45, 42, 43, 0], [0, 20, 22, 23, 21, 0], [0, 80, 79, 77, 73, 70, 71, 76, 78, 81, 82, 83, 86, 90, 0], [0, 25, 27, 29, 32, 31, 52, 50, 51, 48, 46, 49, 47, 0], [0, 26, 28, 30, 34, 36, 39, 38, 37, 35, 33, 24, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0]]",True,True,
ALNS,c1_100.txt,44132,1296.0,57.979291915893555,10,"[[0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 10, 8, 9, 6, 2, 4, 7, 3, 5, 75, 0], [0, 67, 66, 62, 74, 63, 65, 0], [0, 1, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 11, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 72, 61, 64, 68, 69, 0], [0, 43, 47, 49, 52, 50, 51, 48, 46, 45, 44, 42, 40, 41, 0], [0, 20, 22, 24, 25, 27, 29, 30, 28, 26, 23, 21, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 34, 36, 39, 38, 37, 35, 31, 33, 32, 0]]",True,True,
ALNS,c1_100.txt,60264,1295.0,59.50582718849182,10,"[[0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75, 0], [0, 47, 49, 52, 50, 51, 48, 46, 45, 44, 42, 40, 41, 43, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 34, 36, 39, 38, 37, 35, 31, 33, 32, 0], [0, 10, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 67, 65, 63, 74, 62, 66, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0]]",True,True,
ALNS,c1_100.txt,16024,1350.0,58.35257697105408,10,"[[0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 72, 62, 66, 0], [0, 22, 25, 27, 32, 33, 34, 30, 28, 26, 0], [0, 69, 68, 55, 54, 53, 56, 58, 60, 59, 40, 41, 0], [0, 47, 49, 46, 44, 42, 57, 64, 61, 74, 65, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 1, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 10, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 20, 24, 29, 36, 39, 38, 37, 35, 31, 52, 50, 51, 48, 45, 43, 0], [0, 75, 2, 4, 3, 5, 7, 8, 6, 9, 11, 23, 21, 0], [0, 63, 67, 0]]",True,True,
ALNS,c1_100.txt,41091,1316.0,59.145857095718384,10,"[[0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 75, 1, 2, 4, 6, 9, 11, 8, 7, 3, 5, 0], [0, 69, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 41, 59, 60, 58, 56, 53, 54, 55, 68, 66, 0], [0, 10, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 34, 36, 39, 38, 37, 35, 31, 33, 32, 0], [0, 43, 42, 40, 57, 44, 45, 46, 48, 51, 50, 52, 49, 47, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0], [0, 67, 62, 74, 63, 65, 0]]",True,True,
ALNS,c1_100.txt,67222,1331.0,63.799599170684814,10,"[[0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 72, 62, 66, 69, 0], [0, 43, 41, 42, 40, 68, 64, 61, 74, 63, 65, 67, 0], [0, 20, 22, 25, 30, 28, 26, 23, 10, 9, 6, 8, 7, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 11, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 57, 59, 60, 58, 56, 53, 54, 55, 0], [0, 21, 24, 27, 29, 52, 50, 51, 48, 45, 44, 46, 49, 47, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 1, 0], [0, 34, 36, 39, 38, 37, 35, 31, 33, 32, 0], [0, 75, 2, 4, 3, 5, 0]]",True,True,
ALNS,c1_100.txt,64821,1341.0,71.68803691864014,10,"[[0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 21, 22, 25, 27, 29, 33, 32, 24, 20, 0], [0, 67, 62, 74, 63, 65, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 75, 0], [0, 1, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 23, 26, 28, 30, 34, 36, 39, 38, 37, 35, 31, 52, 47, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 10, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 72, 61, 64, 66, 0], [0, 69, 68, 57, 44, 45, 48, 51, 50, 49, 46, 42, 43, 0], [0, 55, 54, 53, 56, 58, 60, 59, 40, 41, 0]]",True,True,
ALNS,c1_100.txt,770,1325.0,67.496572971344,10,"[[0, 67, 65, 63, 62, 72, 61, 64, 57, 40, 42, 43, 0], [0, 47, 49, 52, 50, 51, 48, 45, 44, 46, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 75, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 1, 0], [0, 21, 23, 26, 28, 30, 29, 27, 24, 25, 22, 20, 0], [0, 10, 13, 15, 12, 14, 16, 19, 18, 17, 0], [0, 69, 66, 68, 55, 54, 53, 56, 58, 60, 59, 41, 0], [0, 34, 36, 39, 38, 37, 35, 31, 33, 32, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 74, 0]]",True,True,
ALNS,c1_100.txt,59736,1338.0,71.11557292938232,10,"[[0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 24, 27, 29, 32, 33, 51, 50, 48, 45, 46, 44, 42, 0], [0, 41, 40, 59, 60, 58, 56, 53, 54, 55, 64, 69, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75, 0], [0, 67, 62, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 65, 63, 74, 61, 57, 68, 66, 0], [0, 10, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 20, 22, 25, 26, 23, 21, 0], [0, 28, 30, 34, 36, 39, 38, 37, 35, 31, 52, 49, 47, 43, 0]]",True,True,
ALNS,c1_100.txt,62956,1340.0,83.14483618736267,10,"[[0, 1, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 41, 40, 59, 60, 58, 56, 53, 54, 55, 68, 66, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 20, 22, 25, 27, 29, 32, 33, 24, 21, 0], [0, 23, 26, 28, 30, 34, 36, 39, 38, 37, 35, 31, 52, 49, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 72, 61, 64, 69, 0], [0, 10, 12, 14, 16, 15, 19, 18, 17, 13, 0], [0, 75, 2, 4, 6, 9, 11, 8, 7, 3, 5, 0], [0, 43, 47, 46, 48, 51, 50, 45, 44, 57, 42, 0], [0, 65, 63, 74, 62, 67, 0]]",True,True,
ALNS,c1_100.txt,64926,1328.0,72.78204798698425,10,"[[0, 20, 22, 25, 24, 27, 29, 30, 28, 26, 23, 21, 0], [0, 43, 42, 44, 46, 45, 48, 51, 50, 52, 49, 47, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 1, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 67, 65, 63, 74, 62, 72, 61, 64, 69, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 55, 57, 0], [0, 5, 3, 7, 10, 8, 9, 6, 4, 2, 75, 0], [0, 41, 40, 59, 60, 58, 56, 53, 54, 68, 66, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 11, 13, 15, 12, 14, 16, 19, 18, 17, 0]]",True,True,
ALNS,c1_100.txt,67970,1331.0,80.9942729473114,10,"[[0, 5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75, 0], [0, 21, 23, 26, 28, 30, 25, 22, 20, 0], [0, 67, 66, 62, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 43, 47, 49, 46, 45, 48, 51, 50, 52, 29, 27, 24, 0], [0, 34, 36, 39, 38, 37, 35, 31, 33, 32, 0], [0, 69, 68, 55, 54, 53, 56, 58, 60, 59, 40, 41, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0], [0, 42, 44, 57, 64, 61, 74, 63, 65, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 10, 0]]",True,True,
