algorithm,instance,instance_type,instance_size,optimal_cost,best_cost,avg_cost,worst_cost,cost_std,deviation_from_optimal_percent,avg_computation_time,computation_time_std,success_rate,feasibility_rate,cost_robustness_cv,time_robustness_cv,within_95_percent_optimal,within_99_percent_optimal,avg_vehicles,vehicles_std
ALNS,c1_100.txt,C,100,1295.0,1295.0,1330.4,1350.0,15.60161934915057,0.0,65.55955758094788,8.452193967919197,1.0,1.0,0.011727013942536507,0.12892390186561403,1.0,0.1,10.0,0.0
ALNS,c1_25.txt,C,25,330.0,330.0,330.0,330.0,0.0,0.0,3.172655689716339,1.6163210555902132,1.0,1.0,0.0,0.509453660801978,1.0,1.0,3.0,0.0
ALNS,c1_50.txt,C,50,595.0,595.0,596.85,616.0,5.173566417248764,0.0,11.085331153869628,1.1496112884458836,1.0,1.0,0.008668118316576634,0.10370563337159137,1.0,0.85,5.0,0.0
ALNS,c2_100.txt,C,100,703.0,703.0,723.25,756.0,17.72264385646673,0.0,79.81830922365188,4.5377317764761065,1.0,1.0,0.02450417401516312,0.05685076294664832,0.9,0.4,3.0,0.0
ALNS,c2_25.txt,C,25,238.0,238.0,238.0,238.0,0.0,0.0,2.986669969558716,0.9914364790826848,1.0,1.0,0.0,0.3319538111635317,1.0,1.0,1.0,0.0
ALNS,c2_50.txt,C,50,430.0,430.0,436.3,456.0,6.13960396459782,0.0,13.458637237548828,2.840261553870717,1.0,1.0,0.01407197791564937,0.2110363407334102,0.95,0.35,2.0,0.0
ALNS,r1_100.txt,R,100,1189.0,1189.0,1195.0,1203.0,3.9202577788496993,0.0,64.68481125831605,3.1808243984658056,1.0,1.0,0.0032805504425520494,0.049174208544310635,1.0,0.95,8.0,0.0
ALNS,r1_25.txt,R,25,429.0,429.0,429.0,429.0,0.0,0.0,2.817727839946747,0.3687848230886485,1.0,1.0,0.0,0.13088021414290257,1.0,1.0,2.0,0.0
ALNS,r1_50.txt,R,50,713.0,713.0,713.35,716.0,0.8750939799154206,0.0,13.222342073917389,1.8364907187261286,1.0,1.0,0.0012267385994468641,0.13889299705449465,1.0,1.0,4.0,0.0
ALNS,r2_100.txt,R,100,718.0,719.0,729.7,738.0,5.696977756280567,0.1392757660167131,68.83863990306854,3.6000514860496584,0.5,0.5,0.007807287592545657,0.05229695838149735,1.0,0.3,2.0,0.0
ALNS,r2_25.txt,R,25,358.0,358.0,359.45,363.0,1.2763022245616642,0.0,2.8119301915168764,1.4598029813051,1.0,1.0,0.003550708650887924,0.5191462383060155,1.0,0.95,1.0,0.0
ALNS,r2_50.txt,R,50,500.0,500.0,502.25,507.0,1.7434086394791457,0.0,10.65831401348114,0.37714158292365413,1.0,1.0,0.003471196892940061,0.03538473181092503,1.0,0.95,1.0,0.0
ALNS,rc1_100.txt,R,100,1401.0,1409.0,1448.85,1477.0,21.573070444910076,0.5710206995003569,61.52997697591782,3.7534054408824162,1.0,1.0,0.01488978875998901,0.061001248909153004,0.9,0.1,9.0,0.0
ALNS,rc1_25.txt,R,25,441.0,441.0,441.0,441.0,0.0,0.0,2.6920130133628843,0.20808924782833316,1.0,1.0,0.0,0.07729875256746489,1.0,1.0,3.0,0.0
ALNS,rc1_50.txt,R,50,760.0,760.0,760.0,760.0,0.0,0.0,11.15911271572113,0.9309496382988702,1.0,1.0,0.0,0.08342505914357635,1.0,1.0,5.0,0.0
ALNS,rc2_100.txt,R,100,734.0,736.0,748.9,768.0,9.153084035909483,0.2724795640326975,70.83662174940109,5.825672239760199,1.0,1.0,0.012222037703177304,0.08224096654933229,1.0,0.25,2.0,0.0
ALNS,rc2_25.txt,R,25,271.0,271.0,271.0,271.0,0.0,0.0,2.412318706512451,0.22165352002178662,1.0,1.0,0.0,0.09188401160402085,1.0,1.0,1.0,0.0
ALNS,rc2_50.txt,R,50,413.0,413.0,420.2,426.0,4.873127170621821,0.0,10.96902596950531,0.7896732505637358,1.0,1.0,0.011597161281822515,0.07199119162987533,1.0,0.2,1.0,0.0
