Wall time,Step,Value
1755873776.6672509,408,-3144.536376953125
1755873776.8112252,816,-3111.498779296875
1755873776.9514828,1224,-3115.045654296875
1755873777.088804,1632,-3124.72265625
1755873777.903525,2102,-3130.9931640625
1755873778.0451012,2510,-3143.259765625
1755873778.188905,2918,-3168.84765625
1755873778.336326,3326,-3171.3720703125
1755873778.4884899,3734,-3148.39501953125
1755873779.304272,4204,-3141.193115234375
1755873779.44078,4612,-3138.80517578125
1755873779.578111,5020,-3142.1240234375
1755873779.718046,5428,-3144.691650390625
1755873779.864254,5836,-3130.6337890625
1755873780.660332,6306,-3132.445068359375
1755873780.797502,6714,-3140.841064453125
1755873780.934935,7122,-3149.6708984375
1755873781.072484,7530,-3138.922607421875
1755873781.212683,7938,-3130.3818359375
1755873782.002176,8408,-3132.038818359375
1755873782.1435661,8816,-3131.319091796875
1755873782.284074,9224,-3129.328857421875
1755873782.419348,9632,-3129.84228515625
1755873814.352688,10102,-3124.8095703125
1755873962.8928561,10510,-3119.8525390625
1755874118.056227,10918,-3122.725830078125
1755874254.408059,11326,-3105.94287109375
1755874381.285928,11734,-3070.3291015625
1755874529.084137,12204,-3028.299072265625
1755874660.426646,12612,-2967.98876953125
1755874787.922188,13020,-2902.050048828125
1755874916.534425,13428,-2825.34912109375
1755875043.276107,13836,-2751.7119140625
1755875191.74304,14306,-2678.188720703125
1755875320.886295,14714,-2601.403564453125
1755875447.89669,15122,-2521.62060546875
1755875576.276479,15530,-2443.7470703125
1755875706.2865741,15938,-2360.462646484375
1755875860.5420291,16408,-2286.193603515625
1755876003.922432,16816,-2200.91650390625
1755876145.66223,17224,-2112.586181640625
1755876292.94113,17632,-2020.9241943359375
1755876446.274553,18102,-1945.4989013671875
1755876593.080624,18510,-1867.80615234375
1755876749.96111,18918,-1782.926025390625
1755876895.2127109,19326,-1699.0401611328125
1755877044.2653592,19734,-1616.927978515625
1755877224.048865,20204,-1531.5853271484375
1755877375.82098,20612,-1452.433837890625
1755877536.799859,21020,-1371.2047119140625
1755877691.882721,21428,-1283.23193359375
1755877858.367216,21836,-1217.317626953125
1755878054.825384,22306,-1170.953857421875
1755878207.202973,22714,-1127.7747802734375
1755878360.052219,23122,-1102.5592041015625
1755878515.797761,23530,-1081.2572021484375
1755878649.38781,23938,-1065.915771484375
1755878800.776798,24408,-1051.849365234375
1755878933.004473,24816,-1047.3243408203125
1755879067.2028,25224,-1040.82568359375
1755879199.926286,25632,-1036.3424072265625
1755879354.569621,26102,-1026.841796875
1755879483.897898,26510,-1023.616943359375
1755879615.343449,26918,-1020.2960205078125
1755879745.1918778,27326,-1019.7891235351562
1755879874.605815,27734,-1018.5784912109375
1755880025.782469,28204,-1018.8037109375
1755880154.23789,28612,-1015.7521362304688
1755880285.426014,29020,-1014.1500854492188
1755880416.0557,29428,-1012.2785034179688
1755880547.88938,29836,-1011.258544921875
1755880700.029936,30306,-1009.9346313476562
1755880828.8376598,30714,-1009.6333618164062
1755880960.3953621,31122,-1008.28759765625
1755881091.528086,31530,-1009.2525024414062
1755881220.17387,31938,-1009.1190795898438
