Wall time,Step,Value
1755896857.548317,432,-3241.345703125
1755896857.789155,864,-3167.4033203125
1755896858.023573,1296,-3205.298828125
1755896858.255199,1728,-3162.905517578125
1755896859.52049,2216,-3131.906005859375
1755896859.754745,2648,-3119.67822265625
1755896859.9865012,3080,-3127.387939453125
1755896860.314542,3512,-3139.84814453125
1755896860.568927,3944,-3127.177734375
1755896861.814661,4432,-3118.49462890625
1755896862.047317,4864,-3110.328125
1755896862.279385,5296,-3116.850830078125
1755896862.601174,5728,-3125.00732421875
1755896863.8503969,6216,-3135.240478515625
1755896864.083412,6648,-3140.072265625
1755896864.318112,7080,-3145.732666015625
1755896864.557247,7512,-3152.226318359375
1755896864.792577,7944,-3155.041259765625
1755896866.062928,8432,-3163.374267578125
1755896866.2970922,8864,-3164.09326171875
1755896866.528949,9296,-3159.139892578125
1755896866.761008,9728,-3163.029541015625
1755896976.7361689,10216,-3169.751220703125
1755897195.572534,10648,-3170.919921875
1755897503.243467,11080,-3165.216064453125
1755897820.178012,11512,-3142.96240234375
1755898161.785121,11944,-3113.409423828125
1755898574.0327501,12432,-3077.4296875
1755898968.2166731,12864,-3037.85205078125
1755899143.967008,13296,-2996.306884765625
1755899322.716567,13728,-2941.77197265625
1755899521.381218,14216,-2880.79638671875
1755899695.905062,14648,-2811.843994140625
1755899876.429434,15080,-2753.86328125
1755900053.7159429,15512,-2692.210205078125
1755900236.7948449,15944,-2632.40673828125
1755900445.878382,16432,-2565.8408203125
1755900630.523815,16864,-2498.708251953125
1755900818.982861,17296,-2426.830810546875
1755901103.481926,17728,-2354.610595703125
1755901450.417255,18216,-2282.983154296875
1755901799.443241,18648,-2209.726318359375
1755902088.5012019,19080,-2137.262451171875
1755902387.407603,19512,-2061.401611328125
1755902733.390283,19944,-1994.5511474609375
1755903060.266101,20432,-1927.5518798828125
1755903250.2135239,20864,-1853.7928466796875
1755903442.0329201,21296,-1776.1180419921875
1755903626.313364,21728,-1703.885009765625
1755903849.939265,22216,-1640.5474853515625
1755904036.5861351,22648,-1588.0858154296875
1755904222.974717,23080,-1549.009033203125
1755904417.473998,23512,-1512.211669921875
1755904595.37789,23944,-1486.3465576171875
1755904747.5632792,24432,-1464.4134521484375
1755904901.371945,24864,-1453.6754150390625
1755905060.223928,25296,-1442.5654296875
1755905227.316579,25728,-1437.2952880859375
1755905412.5686882,26216,-1429.89501953125
1755905584.8315048,26648,-1426.8302001953125
1755905757.0205271,27080,-1422.8533935546875
1755905950.0585139,27512,-1416.6336669921875
1755906181.216872,27944,-1410.288818359375
1755906426.885536,28432,-1409.1561279296875
1755906571.795383,28864,-1409.370361328125
1755906721.01653,29296,-1409.2833251953125
1755906892.643919,29728,-1408.0875244140625
1755907079.900768,30216,-1407.287353515625
1755907247.362237,30648,-1405.4737548828125
1755907407.052889,31080,-1400.07421875
1755907553.5907588,31512,-1399.5308837890625
1755907695.9737751,31944,-1398.3616943359375
