Wall time,Step,Value
1755887483.609104,408,-3683.51025390625
1755887483.747809,816,-3891.23828125
1755887483.884706,1224,-3921.86279296875
1755887484.02176,1632,-3831.594482421875
1755887484.834414,2102,-3820.275634765625
1755887484.970657,2510,-3762.800537109375
1755887485.106004,2918,-3760.5302734375
1755887485.242949,3326,-3747.458740234375
1755887485.378776,3734,-3762.265625
1755887486.156456,4204,-3752.55419921875
1755887486.2926238,4612,-3750.24755859375
1755887486.43002,5020,-3737.62109375
1755887486.564846,5428,-3739.98046875
1755887486.7006478,5836,-3734.709228515625
1755887487.481618,6306,-3741.651611328125
1755887487.6163042,6714,-3728.13232421875
1755887487.753419,7122,-3715.05126953125
1755887487.88938,7530,-3721.111083984375
1755887488.025056,7938,-3711.40673828125
1755887488.803936,8408,-3714.578369140625
1755887488.939175,8816,-3723.20751953125
1755887489.074463,9224,-3714.71875
1755887489.209495,9632,-3712.755126953125
1755887520.445514,10102,-3690.6318359375
1755887643.309553,10510,-3688.216552734375
1755887767.969078,10918,-3681.309814453125
1755887893.472568,11326,-3632.829345703125
1755888020.13182,11734,-3576.874267578125
1755888166.205956,12204,-3525.139892578125
1755888293.166518,12612,-3450.232421875
1755888420.270825,13020,-3382.563720703125
1755888547.3640819,13428,-3301.798583984375
1755888674.162179,13836,-3220.45458984375
1755888822.1247702,14306,-3127.204345703125
1755888948.587542,14714,-3040.707763671875
1755889076.346059,15122,-2946.938720703125
1755889208.55697,15530,-2864.209228515625
1755889355.814389,15938,-2767.922607421875
1755889531.375804,16408,-2677.566650390625
1755889679.493137,16816,-2576.183837890625
1755889831.931804,17224,-2490.6318359375
1755889988.870914,17632,-2406.835205078125
1755890180.567474,18102,-2307.58349609375
1755890334.8699892,18510,-2220.00927734375
1755890499.413281,18918,-2125.616455078125
1755890661.9858181,19326,-2024.0780029296875
1755890821.7561321,19734,-1935.0582275390625
1755890998.115115,20204,-1840.9718017578125
1755891127.8617249,20612,-1766.2713623046875
1755891264.14388,21020,-1674.574462890625
1755891400.948148,21428,-1586.1304931640625
1755891532.536473,21836,-1524.177490234375
1755891688.719367,22306,-1475.9342041015625
1755891820.552393,22714,-1437.77587890625
1755891954.754636,23122,-1414.572998046875
1755892086.074114,23530,-1395.386474609375
1755892217.5910468,23938,-1378.7137451171875
1755892371.07119,24408,-1366.4384765625
1755892503.184265,24816,-1356.691650390625
1755892635.0214982,25224,-1349.0203857421875
1755892766.984664,25632,-1347.6353759765625
1755892917.3009012,26102,-1338.79541015625
1755893048.609524,26510,-1338.8765869140625
1755893178.549918,26918,-1334.3353271484375
1755893307.220696,27326,-1334.602783203125
1755893437.859185,27734,-1331.5794677734375
1755893588.001301,28204,-1328.62939453125
1755893719.270111,28612,-1327.354248046875
1755893847.2822442,29020,-1325.94384765625
1755893976.328011,29428,-1323.2744140625
1755894108.039798,29836,-1321.419677734375
1755894256.118117,30306,-1321.419677734375
1755894384.977418,30714,-1321.1605224609375
1755894513.4127061,31122,-1320.944091796875
1755894641.374846,31530,-1319.8695068359375
1755894771.4436212,31938,-1320.318115234375
