algorithm,instance,instance_type,instance_size,optimal_cost,best_cost,avg_cost,worst_cost,cost_std,deviation_from_optimal_percent,avg_computation_time,computation_time_std,success_rate,feasibility_rate,cost_robustness_cv,time_robustness_cv,within_95_percent_optimal,within_99_percent_optimal,avg_vehicles,vehicles_std
RL,c1_100,C,100,1295.0,1608.0,1608.0,1608.0,0.0,24.16988416988417,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0
RL,c1_25,C,25,330.0,376.0,376.0,376.0,0.0,13.939393939393941,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
RL,c1_50,C,50,595.0,717.0,717.0,717.0,0.0,20.504201680672267,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
RL,c2_100,C,100,703.0,976.0,976.3,982.0,1.341640786499874,38.83357041251778,0.5,0.0,1.0,1.0,0.0013742095529036915,0.0,0.0,0.0,3.0,0.0
RL,c2_25,C,25,238.0,248.0,248.0,248.0,0.0,4.201680672268908,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
RL,c2_50,C,50,430.0,494.0,494.0,494.0,0.0,14.883720930232558,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
RL,r1_100,R,100,1189.0,1410.0,1410.0,1410.0,0.0,18.58704793944491,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0
RL,r1_25,R,25,429.0,484.0,484.0,484.0,0.0,12.82051282051282,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
RL,r1_50,R,50,713.0,846.0,846.0,846.0,0.0,18.653576437587656,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
RL,r2_100,R,100,718.0,891.0,891.0,891.0,0.0,24.094707520891365,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
RL,r2_25,R,25,358.0,390.0,390.0,390.0,0.0,8.938547486033519,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
RL,r2_50,R,50,500.0,572.0,572.0,572.0,0.0,14.399999999999999,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
RL,rc1_100,R,100,1401.0,1761.0,1762.9,1763.0,0.44721359549995804,25.69593147751606,0.5,0.0,1.0,1.0,0.00025368063730214877,0.0,0.0,0.0,9.0,0.0
RL,rc1_25,R,25,441.0,458.0,458.0,458.0,0.0,3.8548752834467117,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
RL,rc1_50,R,50,760.0,917.0,917.0,917.0,0.0,20.657894736842106,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
RL,rc2_100,R,100,734.0,1127.0,1127.0,1127.0,0.0,53.54223433242507,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
RL,rc2_25,R,25,271.0,307.0,307.0,307.0,0.0,13.284132841328415,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
RL,rc2_50,R,50,413.0,457.0,457.0,457.0,0.0,10.653753026634384,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
