algorithm,instance,seed,solution_cost,computation_time,num_vehicles,routes,feasible,success,error
Clarke-Wright,c1_100.txt,15796,1307.0,1.7480099201202393,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
Clarke-Wright,c1_100.txt,861,1307.0,0.3287019729614258,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
Clarke-Wright,c1_100.txt,76821,1307.0,0.3267357349395752,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
Clarke-Wright,c1_100.txt,54887,1307.0,0.324815034866333,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
Clarke-Wright,c1_100.txt,6266,1307.0,0.3289060592651367,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
Clarke-Wright,c1_100.txt,82387,1307.0,0.32730793952941895,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
Clarke-Wright,c1_100.txt,37195,1307.0,0.33947324752807617,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
Clarke-Wright,c1_100.txt,87499,1307.0,0.3375232219696045,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
Clarke-Wright,c1_100.txt,44132,1307.0,0.3326070308685303,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
Clarke-Wright,c1_100.txt,60264,1307.0,0.3292558193206787,10,"[[0, 2, 4, 8, 14, 16, 15, 17, 13, 0], [0, 87, 89, 88, 3, 5, 23, 25, 24, 21, 0], [0, 6, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 26, 28, 30, 36, 37, 38, 35, 33, 32, 31, 0], [0, 41, 40, 44, 59, 58, 56, 57, 55, 68, 64, 61, 62, 0], [0, 47, 49, 52, 50, 51, 48, 46, 69, 66, 63, 65, 67, 0], [0, 79, 77, 73, 70, 71, 76, 81, 82, 84, 85, 0], [0, 13, 17, 18, 15, 19, 16, 14, 12, 11, 0], [0, 10, 7, 8, 9, 6, 4, 2, 1, 3, 5, 75, 0], [0, 21, 23, 26, 28, 30, 29, 27, 25, 24, 22, 20, 0], [0, 91, 89, 88, 85, 84, 82, 83, 86, 87, 90, 0], [0, 67, 65, 63, 74, 62, 69, 0], [0, 41, 40, 42, 46, 44, 45, 48, 51, 50, 52, 49, 47, 43, 0], [0, 59, 60, 58, 56, 53, 54, 57, 55, 0], [0, 66, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81, 0], [0, 99, 100, 97, 93, 92, 94, 95, 96, 98, 0], [0, 34, 36, 39, 38, 37, 35, 33, 32, 31, 0]]",True,True,
