algorithm,instance,instance_type,instance_size,optimal_cost,best_cost,avg_cost,worst_cost,cost_std,deviation_from_optimal_percent,avg_computation_time,computation_time_std,success_rate,feasibility_rate,cost_robustness_cv,time_robustness_cv,within_95_percent_optimal,within_99_percent_optimal,avg_vehicles,vehicles_std
Clarke-Wright,c1_100.txt,C,100,1295.0,1307.0,1307.0,1307.0,0.0,0.9266409266409266,0.4028791904449463,0.31664583249871736,1.0,1.0,0.0,0.7859572795234436,1.0,1.0,10.0,0.0
Clarke-Wright,c1_25.txt,C,25,330.0,338.0,338.0,338.0,0.0,2.4242424242424243,0.054371190071105954,0.22261888795640847,1.0,1.0,0.0,4.094427355098726,1.0,0.0,3.0,0.0
Clarke-Wright,c1_50.txt,C,50,595.0,603.0,603.0,603.0,0.0,1.3445378151260505,0.11035842895507812,0.31625853469612847,1.0,1.0,0.0,2.865739732710973,1.0,0.0,5.0,0.0
Clarke-Wright,c2_100.txt,C,100,703.0,745.0,745.0,745.0,0.0,5.974395448079658,0.5308857679367065,0.44041049311134606,1.0,1.0,0.0,0.829576755886688,0.0,0.0,3.0,0.0
Clarke-Wright,c2_25.txt,C,25,238.0,248.0,248.0,248.0,0.0,4.201680672268908,0.0589518666267395,0.24661535435622525,1.0,1.0,0.0,4.18333410742867,1.0,0.0,1.0,0.0
Clarke-Wright,c2_50.txt,C,50,430.0,454.0,454.0,454.0,0.0,5.5813953488372094,0.07570433616638184,0.2022688508158045,1.0,1.0,0.0,2.6718264905098845,0.0,0.0,2.0,0.0
Clarke-Wright,r1_100.txt,R,100,1189.0,1261.0,1261.0,1261.0,0.0,6.055508830950378,0.3947338342666626,0.22477446571916077,1.0,1.0,0.0,0.5694329854869099,0.0,0.0,8.0,0.0
Clarke-Wright,r1_25.txt,R,25,429.0,450.0,450.0,450.0,0.0,4.895104895104895,0.0485383152961731,0.1995959601998798,1.0,1.0,0.0,4.112132013276046,1.0,0.0,2.0,0.0
Clarke-Wright,r1_50.txt,R,50,713.0,760.0,760.0,760.0,0.0,6.5918653576437585,0.0763330340385437,0.19252755706981647,1.0,1.0,0.0,2.5222049600779832,0.0,0.0,4.0,0.0
Clarke-Wright,r2_100.txt,R,100,718.0,774.0,774.0,774.0,0.0,7.7994428969359335,0.4187741637229919,0.19277181692009554,1.0,1.0,0.0,0.4603240448415271,0.0,0.0,2.0,0.0
Clarke-Wright,r2_25.txt,R,25,358.0,373.0,373.0,373.0,0.0,4.189944134078212,0.055412757396698,0.23343069917998624,1.0,1.0,0.0,4.2125804624531495,1.0,0.0,1.0,0.0
Clarke-Wright,r2_50.txt,R,50,500.0,539.0,539.0,539.0,0.0,7.8,0.06974567174911499,0.1877583193351309,1.0,1.0,0.0,2.6920425974320534,0.0,0.0,1.0,0.0
Clarke-Wright,rc1_100.txt,R,100,1401.0,1457.0,1457.0,1457.0,0.0,3.9971448965024985,0.39756112098693847,0.21081975287555285,1.0,1.0,0.0,0.5302826200715919,1.0,0.0,9.0,0.0
Clarke-Wright,rc1_25.txt,R,25,441.0,447.0,447.0,447.0,0.0,1.3605442176870748,0.06430990695953369,0.2665221946801361,1.0,1.0,0.0,4.144341164229056,1.0,0.0,3.0,0.0
Clarke-Wright,rc1_50.txt,R,50,760.0,767.0,767.0,767.0,0.0,0.9210526315789472,0.14340976476669312,0.28723228962794095,1.0,1.0,0.0,2.002878186818214,1.0,1.0,5.0,0.0
Clarke-Wright,rc2_100.txt,R,100,734.0,765.0,765.0,765.0,0.0,4.223433242506812,0.48767406940460206,0.1995260357288231,1.0,1.0,0.0,0.40913808678083513,1.0,0.0,2.0,0.0
Clarke-Wright,rc2_25.txt,R,25,271.0,284.0,284.0,284.0,0.0,4.797047970479705,0.050934648513793944,0.212009749711891,1.0,1.0,0.0,4.162387606434061,1.0,0.0,1.0,0.0
Clarke-Wright,rc2_50.txt,R,50,413.0,428.0,428.0,428.0,0.0,3.631961259079903,0.06838821172714234,0.20012928400939142,1.0,1.0,0.0,2.9263710653507684,1.0,0.0,1.0,0.0
